['pVA2067_2', 'pVA791_75']
['pVA2067_4', 'pVA754_27']
['pVA2067_4', 'pVA754_3']
['pVA2067_4', 'pVA754_4']
['pVA2067_4', 'pVA754_57']
['pVA2067_4', 'pVA754_5']
['pVA2067_4', 'pVA754_9']
['pVA2067_4', 'pVA765_0.7']
['pVA2067_4', 'pVA765_1_A']
['pVA2067_4', 'pVA765_1_B']
['pVA2067_4', 'pVA765_275']
['pVA2067_4', 'pVA765_45']
['pVA2067_4', 'pVA765_4_A']
['pVA2067_4', 'pVA765_4_B']
['pVA2067_4', 'pVA765_72']
['pVA2067_4', 'pVA765_74']
['pVA2067_4', 'pVA767_225']
['pVA2067_4', 'pVA767_46']
['pVA2067_4', 'pVA767_57']
['pVA2067_4', 'pVA791_17']
['pVA2067_4', 'pVA791_270']
['pVA2067_4', 'pVA791_4']
['pVA2067_4', 'pVA791_57']
['pVA2067_4', 'pVA791_75']
