plasmid	type
pVA791_75	community_2_subcommunity_0
pIH359_36	community_3_subcommunity_0
pVA1184_82	community_4_subcommunity_0
pVA1505_2	community_5_subcommunity_0
pVA1835_14	community_6_subcommunity_0
pVA1835_4	community_7_subcommunity_0
pVA1835_6	community_8_subcommunity_0
pVA2817_1	community_9_subcommunity_0
pVA2817_5	community_10_subcommunity_0
pVA3495_29	community_11_subcommunity_0
pVA3495_4	community_12_subcommunity_0
pVA436_0.1	community_13_subcommunity_0
pVA436_2_B	community_14_subcommunity_0
pVA436_41	community_15_subcommunity_0
pVA524_5	community_16_subcommunity_0
pVA585_226	community_17_subcommunity_0
pVA634_25	community_18_subcommunity_0
pVA634_3	community_19_subcommunity_0
pVA634_4	community_20_subcommunity_0
